Time(s) | Speed(km/h) | RPM | Gear | Torque(Nm) | Power(HP)
079.49 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
079.68 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
079.88 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
080.08 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
080.28 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
080.47 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
080.67 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
080.87 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
081.07 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
081.27 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
081.47 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
081.66 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
081.86 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
082.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
082.26 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
082.46 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
082.66 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
082.86 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
083.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
083.26 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
083.46 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
083.66 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
083.86 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
084.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
084.25 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
084.45 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
084.65 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
084.86 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
085.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
085.26 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
085.46 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
085.66 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
085.86 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
086.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
086.26 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
086.46 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
086.66 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
086.85 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
087.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
087.25 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
087.45 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
087.65 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
087.85 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
088.05 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
088.25 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
088.45 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
088.65 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
088.85 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
089.05 | 000 km/h | 0802 RPM | D1 | 000 Nm | 000 HP
089.25 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
089.45 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
089.65 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
089.85 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
090.06 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
090.25 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
090.46 | 004 km/h | 0983 RPM | D1 | 116 Nm | 016 HP
090.66 | 012 km/h | 1521 RPM | D1 | 366 Nm | 079 HP
090.86 | 020 km/h | 2717 RPM | D1 | 642 Nm | 248 HP
091.05 | 028 km/h | 3866 RPM | D1 | 650 Nm | 357 HP
091.25 | 036 km/h | 4982 RPM | D1 | 650 Nm | 461 HP
091.45 | 043 km/h | 6074 RPM | D1 | 609 Nm | 527 HP
091.65 | 050 km/h | 4318 RPM | D2 | 052 Nm | 031 HP
091.85 | 052 km/h | 4382 RPM | D2 | 650 Nm | 405 HP
092.05 | 059 km/h | 4957 RPM | D2 | 650 Nm | 458 HP
092.25 | 066 km/h | 5558 RPM | D2 | 645 Nm | 511 HP
092.45 | 073 km/h | 6147 RPM | D2 | 604 Nm | 529 HP
092.65 | 080 km/h | 6723 RPM | D2 | 563 Nm | 539 HP
092.85 | 086 km/h | 5074 RPM | D3 | 052 Nm | 037 HP
093.05 | 088 km/h | 5110 RPM | D3 | 650 Nm | 473 HP
093.25 | 094 km/h | 5462 RPM | D3 | 650 Nm | 505 HP
093.45 | 100 km/h | 5831 RPM | D3 | 626 Nm | 520 HP
093.65 | 106 km/h | 6193 RPM | D3 | 601 Nm | 530 HP
093.85 | 112 km/h | 6546 RPM | D3 | 576 Nm | 537 HP
094.05 | 118 km/h | 6892 RPM | D3 | 551 Nm | 541 HP
094.25 | 124 km/h | 7230 RPM | D3 | 527 Nm | 543 HP
094.45 | 126 km/h | 5518 RPM | D4 | 415 Nm | 326 HP
094.65 | 131 km/h | 5678 RPM | D4 | 637 Nm | 515 HP
094.85 | 136 km/h | 5916 RPM | D4 | 620 Nm | 522 HP
095.04 | 142 km/h | 6151 RPM | D4 | 604 Nm | 529 HP
095.24 | 147 km/h | 6381 RPM | D4 | 587 Nm | 534 HP
095.44 | 152 km/h | 6606 RPM | D4 | 571 Nm | 538 HP
095.64 | 157 km/h | 6825 RPM | D4 | 556 Nm | 540 HP
095.85 | 162 km/h | 7041 RPM | D4 | 541 Nm | 542 HP
096.05 | 167 km/h | 7251 RPM | D4 | 526 Nm | 543 HP
096.25 | 170 km/h | 5811 RPM | D5 | 200 Nm | 166 HP
096.45 | 172 km/h | 5867 RPM | D5 | 624 Nm | 521 HP
096.64 | 177 km/h | 6020 RPM | D5 | 613 Nm | 525 HP
096.84 | 181 km/h | 6174 RPM | D5 | 602 Nm | 529 HP
097.04 | 186 km/h | 6324 RPM | D5 | 591 Nm | 533 HP
097.24 | 190 km/h | 6471 RPM | D5 | 581 Nm | 535 HP
097.44 | 194 km/h | 6614 RPM | D5 | 571 Nm | 538 HP
097.64 | 198 km/h | 6755 RPM | D5 | 561 Nm | 540 HP
097.84 | 202 km/h | 6893 RPM | D5 | 551 Nm | 541 HP
098.04 | 206 km/h | 7027 RPM | D5 | 542 Nm | 542 HP
098.24 | 210 km/h | 7159 RPM | D5 | 532 Nm | 543 HP
098.44 | 214 km/h | 7288 RPM | D5 | 523 Nm | 543 HP
098.63 | 218 km/h | 6096 RPM | D6 | 000 Nm | 000 HP
098.83 | 219 km/h | 5962 RPM | D6 | 592 Nm | 503 HP
099.04 | 222 km/h | 6051 RPM | D6 | 611 Nm | 526 HP
099.23 | 226 km/h | 6147 RPM | D6 | 604 Nm | 529 HP
099.44 | 229 km/h | 6241 RPM | D6 | 597 Nm | 531 HP
099.64 | 232 km/h | 6333 RPM | D6 | 591 Nm | 533 HP
099.83 | 236 km/h | 6423 RPM | D6 | 584 Nm | 534 HP
100.03 | 239 km/h | 6511 RPM | D6 | 578 Nm | 536 HP
100.23 | 242 km/h | 6598 RPM | D6 | 572 Nm | 537 HP
100.43 | 245 km/h | 6682 RPM | D6 | 566 Nm | 539 HP
100.63 | 248 km/h | 6764 RPM | D6 | 560 Nm | 540 HP
100.83 | 251 km/h | 6845 RPM | D6 | 555 Nm | 541 HP
101.03 | 254 km/h | 6924 RPM | D6 | 549 Nm | 541 HP
101.22 | 257 km/h | 7001 RPM | D6 | 543 Nm | 542 HP
101.42 | 260 km/h | 7077 RPM | D6 | 538 Nm | 542 HP
101.63 | 262 km/h | 7151 RPM | D6 | 533 Nm | 543 HP
101.83 | 265 km/h | 7223 RPM | D6 | 528 Nm | 543 HP
102.03 | 267 km/h | 7294 RPM | D6 | 523 Nm | 543 HP
102.23 | 270 km/h | 7363 RPM | D6 | 518 Nm | 543 HP
102.43 | 272 km/h | 7431 RPM | D6 | 513 Nm | 543 HP
102.63 | 273 km/h | 6157 RPM | D7 | 531 Nm | 465 HP
102.83 | 275 km/h | 6205 RPM | D7 | 600 Nm | 530 HP
103.03 | 278 km/h | 6258 RPM | D7 | 596 Nm | 531 HP
103.23 | 280 km/h | 6310 RPM | D7 | 592 Nm | 532 HP
103.43 | 282 km/h | 6361 RPM | D7 | 589 Nm | 533 HP
103.63 | 285 km/h | 6411 RPM | D7 | 585 Nm | 534 HP
103.83 | 287 km/h | 6460 RPM | D7 | 582 Nm | 535 HP
104.03 | 289 km/h | 6507 RPM | D7 | 578 Nm | 536 HP
104.23 | 291 km/h | 6554 RPM | D7 | 575 Nm | 537 HP
104.42 | 293 km/h | 6600 RPM | D7 | 572 Nm | 537 HP
104.62 | 295 km/h | 6645 RPM | D7 | 569 Nm | 538 HP
104.82 | 297 km/h | 6688 RPM | D7 | 566 Nm | 539 HP
105.02 | 299 km/h | 6731 RPM | D7 | 563 Nm | 539 HP
105.22 | 301 km/h | 6773 RPM | D7 | 560 Nm | 540 HP
105.41 | 302 km/h | 6814 RPM | D7 | 557 Nm | 540 HP
105.62 | 304 km/h | 6854 RPM | D7 | 554 Nm | 541 HP
105.82 | 306 km/h | 6893 RPM | D7 | 551 Nm | 541 HP
106.02 | 308 km/h | 6932 RPM | D7 | 548 Nm | 541 HP
106.22 | 309 km/h | 6969 RPM | D7 | 546 Nm | 542 HP
106.42 | 311 km/h | 7006 RPM | D7 | 543 Nm | 542 HP
106.62 | 312 km/h | 7042 RPM | D7 | 541 Nm | 542 HP
106.82 | 314 km/h | 7077 RPM | D7 | 538 Nm | 542 HP
107.02 | 316 km/h | 7112 RPM | D7 | 536 Nm | 543 HP
107.22 | 317 km/h | 7145 RPM | D7 | 533 Nm | 543 HP
107.42 | 319 km/h | 7178 RPM | D7 | 531 Nm | 543 HP
107.62 | 320 km/h | 7211 RPM | D7 | 529 Nm | 543 HP
107.82 | 321 km/h | 7242 RPM | D7 | 526 Nm | 543 HP
108.03 | 323 km/h | 7273 RPM | D7 | 524 Nm | 543 HP
108.23 | 324 km/h | 7303 RPM | D7 | 522 Nm | 543 HP
108.42 | 325 km/h | 7333 RPM | D7 | 520 Nm | 543 HP
108.62 | 327 km/h | 7362 RPM | D7 | 518 Nm | 543 HP
108.82 | 327 km/h | 7381 RPM | D7 | 517 Nm | 543 HP
109.02 | 328 km/h | 7389 RPM | D7 | 516 Nm | 543 HP
109.22 | 329 km/h | 7430 RPM | D7 | 513 Nm | 543 HP
109.42 | 329 km/h | 7433 RPM | D7 | 513 Nm | 543 HP
109.62 | 328 km/h | 7400 RPM | D7 | 515 Nm | 543 HP
109.83 | 327 km/h | 7383 RPM | D7 | 517 Nm | 543 HP
110.02 | 329 km/h | 7416 RPM | D7 | 514 Nm | 543 HP
110.22 | 329 km/h | 7432 RPM | D7 | 513 Nm | 543 HP
110.42 | 330 km/h | 7448 RPM | D7 | 512 Nm | 543 HP
110.62 | 331 km/h | 7471 RPM | D7 | 510 Nm | 543 HP
110.82 | 333 km/h | 7494 RPM | D7 | 509 Nm | 543 HP
111.02 | 332 km/h | 7494 RPM | D7 | 509 Nm | 543 HP
111.22 | 332 km/h | 7491 RPM | D7 | 509 Nm | 543 HP
111.42 | 332 km/h | 7497 RPM | D7 | 509 Nm | 543 HP
111.61 | 331 km/h | 7467 RPM | D7 | 102 Nm | 108 HP
111.81 | 328 km/h | 7400 RPM | D7 | 000 Nm | 000 HP
112.01 | 325 km/h | 7332 RPM | D7 | 000 Nm | 000 HP
112.23 | 322 km/h | 7265 RPM | D7 | 000 Nm | 000 HP
112.43 | 319 km/h | 7197 RPM | D7 | 000 Nm | 000 HP
112.63 | 316 km/h | 7130 RPM | D7 | 000 Nm | 000 HP
112.83 | 313 km/h | 7062 RPM | D7 | 000 Nm | 000 HP
113.03 | 310 km/h | 6995 RPM | D7 | 000 Nm | 000 HP
113.23 | 307 km/h | 6927 RPM | D7 | 000 Nm | 000 HP
113.43 | 304 km/h | 6859 RPM | D7 | 000 Nm | 000 HP
113.63 | 301 km/h | 6792 RPM | D7 | 000 Nm | 000 HP
113.83 | 298 km/h | 6724 RPM | D7 | 000 Nm | 000 HP
114.03 | 295 km/h | 6657 RPM | D7 | 000 Nm | 000 HP
114.23 | 292 km/h | 6589 RPM | D7 | 000 Nm | 000 HP
114.42 | 289 km/h | 6522 RPM | D7 | 000 Nm | 000 HP
114.62 | 286 km/h | 6454 RPM | D7 | 000 Nm | 000 HP
114.82 | 283 km/h | 6387 RPM | D7 | 000 Nm | 000 HP
115.02 | 280 km/h | 6319 RPM | D7 | 000 Nm | 000 HP
115.22 | 277 km/h | 6251 RPM | D7 | 000 Nm | 000 HP
115.42 | 274 km/h | 6184 RPM | D7 | 000 Nm | 000 HP
115.62 | 271 km/h | 6116 RPM | D7 | 000 Nm | 000 HP
115.82 | 268 km/h | 6049 RPM | D7 | 000 Nm | 000 HP
116.03 | 265 km/h | 5981 RPM | D7 | 000 Nm | 000 HP
116.22 | 262 km/h | 5914 RPM | D7 | 000 Nm | 000 HP
116.42 | 259 km/h | 5846 RPM | D7 | 000 Nm | 000 HP
116.63 | 256 km/h | 5778 RPM | D7 | 000 Nm | 000 HP
116.83 | 253 km/h | 5711 RPM | D7 | 000 Nm | 000 HP
117.03 | 250 km/h | 5643 RPM | D7 | 000 Nm | 000 HP
117.23 | 247 km/h | 5576 RPM | D7 | 000 Nm | 000 HP
117.43 | 244 km/h | 5508 RPM | D7 | 000 Nm | 000 HP
117.63 | 241 km/h | 5441 RPM | D7 | 000 Nm | 000 HP
117.83 | 238 km/h | 5373 RPM | D7 | 000 Nm | 000 HP
118.03 | 235 km/h | 5305 RPM | D7 | 000 Nm | 000 HP
118.23 | 232 km/h | 5238 RPM | D7 | 000 Nm | 000 HP
118.43 | 229 km/h | 5170 RPM | D7 | 000 Nm | 000 HP
118.63 | 226 km/h | 5103 RPM | D7 | 000 Nm | 000 HP
118.83 | 223 km/h | 5035 RPM | D7 | 000 Nm | 000 HP
119.03 | 220 km/h | 4968 RPM | D7 | 000 Nm | 000 HP
119.23 | 217 km/h | 4900 RPM | D7 | 000 Nm | 000 HP
119.43 | 214 km/h | 4832 RPM | D7 | 000 Nm | 000 HP
119.63 | 211 km/h | 4765 RPM | D7 | 000 Nm | 000 HP
119.83 | 208 km/h | 4697 RPM | D7 | 000 Nm | 000 HP
120.03 | 205 km/h | 4630 RPM | D7 | 000 Nm | 000 HP
120.22 | 202 km/h | 4562 RPM | D7 | 000 Nm | 000 HP
120.42 | 199 km/h | 4495 RPM | D7 | 000 Nm | 000 HP
120.62 | 196 km/h | 4427 RPM | D7 | 000 Nm | 000 HP
120.83 | 193 km/h | 4359 RPM | D7 | 000 Nm | 000 HP
121.03 | 190 km/h | 4292 RPM | D7 | 000 Nm | 000 HP
121.23 | 187 km/h | 4224 RPM | D7 | 000 Nm | 000 HP
121.43 | 184 km/h | 4157 RPM | D7 | 000 Nm | 000 HP
121.63 | 181 km/h | 4089 RPM | D7 | 000 Nm | 000 HP
121.82 | 178 km/h | 4022 RPM | D7 | 000 Nm | 000 HP
122.03 | 175 km/h | 3954 RPM | D7 | 000 Nm | 000 HP
122.22 | 172 km/h | 3887 RPM | D7 | 000 Nm | 000 HP
122.42 | 169 km/h | 3819 RPM | D7 | 000 Nm | 000 HP
122.62 | 166 km/h | 3751 RPM | D7 | 000 Nm | 000 HP
122.83 | 163 km/h | 3684 RPM | D7 | 000 Nm | 000 HP
123.02 | 160 km/h | 3616 RPM | D7 | 000 Nm | 000 HP
123.22 | 157 km/h | 3549 RPM | D7 | 000 Nm | 000 HP
123.42 | 154 km/h | 3481 RPM | D7 | 000 Nm | 000 HP
123.62 | 151 km/h | 3414 RPM | D7 | 000 Nm | 000 HP
123.83 | 148 km/h | 3346 RPM | D7 | 000 Nm | 000 HP
124.03 | 145 km/h | 3278 RPM | D7 | 000 Nm | 000 HP
124.24 | 142 km/h | 3211 RPM | D7 | 000 Nm | 000 HP
124.44 | 139 km/h | 3143 RPM | D7 | 000 Nm | 000 HP
124.64 | 136 km/h | 3076 RPM | D7 | 000 Nm | 000 HP
124.84 | 133 km/h | 3008 RPM | D7 | 000 Nm | 000 HP
125.03 | 130 km/h | 2941 RPM | D7 | 000 Nm | 000 HP
125.23 | 127 km/h | 2873 RPM | D7 | 000 Nm | 000 HP
125.43 | 124 km/h | 2805 RPM | D7 | 000 Nm | 000 HP
125.63 | 121 km/h | 2738 RPM | D7 | 000 Nm | 000 HP
125.83 | 118 km/h | 2670 RPM | D7 | 000 Nm | 000 HP
128.51 | 115 km/h | 2603 RPM | D7 | 000 Nm | 000 HP
128.71 | 112 km/h | 2535 RPM | D7 | 000 Nm | 000 HP
128.90 | 109 km/h | 2468 RPM | D7 | 000 Nm | 000 HP
129.10 | 106 km/h | 2400 RPM | D7 | 000 Nm | 000 HP
129.31 | 103 km/h | 2332 RPM | D7 | 000 Nm | 000 HP
129.51 | 100 km/h | 2265 RPM | D7 | 000 Nm | 000 HP
129.71 | 097 km/h | 2197 RPM | D7 | 000 Nm | 000 HP
129.91 | 094 km/h | 2130 RPM | D7 | 000 Nm | 000 HP
130.10 | 091 km/h | 2062 RPM | D7 | 000 Nm | 000 HP
130.30 | 088 km/h | 1995 RPM | D7 | 000 Nm | 000 HP
130.50 | 085 km/h | 1927 RPM | D7 | 000 Nm | 000 HP
130.70 | 082 km/h | 1859 RPM | D7 | 000 Nm | 000 HP
130.90 | 079 km/h | 2176 RPM | D6 | 000 Nm | 000 HP
131.10 | 077 km/h | 2132 RPM | D6 | 000 Nm | 000 HP
131.29 | 074 km/h | 2050 RPM | D6 | 000 Nm | 000 HP
131.49 | 071 km/h | 1969 RPM | D6 | 000 Nm | 000 HP
131.69 | 068 km/h | 1887 RPM | D6 | 000 Nm | 000 HP
131.90 | 065 km/h | 2241 RPM | D5 | 000 Nm | 000 HP
132.10 | 064 km/h | 2208 RPM | D5 | 000 Nm | 000 HP
132.30 | 061 km/h | 2107 RPM | D5 | 000 Nm | 000 HP
132.49 | 058 km/h | 2005 RPM | D5 | 000 Nm | 000 HP
132.69 | 055 km/h | 1903 RPM | D5 | 000 Nm | 000 HP
132.90 | 052 km/h | 2300 RPM | D4 | 000 Nm | 000 HP
133.10 | 050 km/h | 2241 RPM | D4 | 000 Nm | 000 HP
133.30 | 047 km/h | 2112 RPM | D4 | 000 Nm | 000 HP
133.50 | 044 km/h | 1981 RPM | D4 | 000 Nm | 000 HP
133.70 | 041 km/h | 1850 RPM | D4 | 000 Nm | 000 HP
133.90 | 040 km/h | 2394 RPM | D3 | 000 Nm | 000 HP
134.10 | 037 km/h | 2230 RPM | D3 | 000 Nm | 000 HP
134.30 | 034 km/h | 2054 RPM | D3 | 000 Nm | 000 HP
134.50 | 031 km/h | 1878 RPM | D3 | 000 Nm | 000 HP
134.71 | 030 km/h | 2590 RPM | D2 | 000 Nm | 000 HP
134.91 | 027 km/h | 2359 RPM | D2 | 000 Nm | 000 HP
135.11 | 024 km/h | 2103 RPM | D2 | 000 Nm | 000 HP
135.31 | 021 km/h | 2925 RPM | D1 | 000 Nm | 000 HP
135.50 | 019 km/h | 2918 RPM | D1 | 000 Nm | 000 HP
135.71 | 016 km/h | 2495 RPM | D1 | 000 Nm | 000 HP
135.91 | 013 km/h | 1803 RPM | D1 | 000 Nm | 000 HP
136.10 | 010 km/h | 1554 RPM | D1 | 000 Nm | 000 HP
136.30 | 007 km/h | 1353 RPM | D1 | 000 Nm | 000 HP
136.50 | 004 km/h | 1153 RPM | D1 | 000 Nm | 000 HP
136.70 | 001 km/h | 0953 RPM | D1 | 000 Nm | 000 HP
136.90 | 000 km/h | 0806 RPM | D1 | 000 Nm | 000 HP
137.10 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
137.30 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
137.49 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
137.69 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
137.89 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
138.09 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
138.29 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
138.49 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
138.69 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
138.89 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
139.09 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
139.28 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
139.49 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
139.68 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
139.89 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
140.09 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
140.82 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
141.02 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
141.22 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
141.42 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
141.62 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
141.82 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
142.02 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
142.22 | 000 km/h | 0800 RPM | D1 | 000 Nm | 000 HP
